Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,-0.38,43.8,16,99.62,2.14,0.18,26,240,0,0.2,3,0.9,0.4,1,short
2,-0.38,43.8,16,99.62,2.14,0.18,26,240,1,0.2,3,0.9,0.4,1,short
3,-0.49,42.9,14,99.51,2.14,0.17,22,240,0,0.3,3,0.9,0.4,1,short
4,-0.49,42.9,14,99.51,2.14,0.17,21,240,0,0.4,3,0.9,0.4,1,short
5,-0.49,42.9,14,99.51,2.14,0.17,22,240,1,0.3,3,0.9,0.4,1,short
6,-0.49,42.9,14,99.51,2.14,0.17,21,240,1,0.4,3,0.9,0.4,1,short
7,-0.91,40.0,15,99.09,2.62,0.14,25,240,2,0.1,3,0.9,0.4,1,short
8,-1.31,38.9,18,98.69,2.84,0.13,32,240,0,0.4,2,0.9,0.4,1,short
9,-1.31,38.9,18,98.69,2.84,0.13,32,240,1,0.4,2,0.9,0.4,1,short
10,-1.32,38.5,13,98.68,1.34,0.09,22,240,2,0.4,3,0.9,0.4,1,short
11,-1.33,33.3,9,98.67,3.20,0.05,25,240,2,0.1,3,0.9,0.4,1,long
12,-1.79,39.1,23,98.21,2.95,0.12,39,240,0,0.1,2,0.9,0.4,1,short
13,-1.79,37.5,16,98.21,4.09,0.08,27,240,0,0.1,3,0.9,0.4,1,short
14,-1.79,39.1,23,98.21,2.95,0.12,39,240,1,0.1,2,0.9,0.4,1,short
15,-1.79,37.5,16,98.21,4.09,0.08,27,240,1,0.1,3,0.9,0.4,1,short
16,-1.89,36.8,19,98.11,2.84,0.10,33,240,0,0.3,2,0.9,0.4,1,short
17,-1.89,36.8,19,98.11,2.84,0.10,33,240,1,0.3,2,0.9,0.4,1,short
18,-2.23,37.5,24,97.77,4.58,0.10,25,240,2,0.1,3,0.9,0.4,1,both
19,-2.49,28.6,14,97.51,4.50,0.01,33,240,0,0.3,2,0.9,0.4,1,long
20,-2.49,28.6,14,97.51,4.50,0.01,32,240,0,0.4,2,0.9,0.4,1,long
21,-2.49,28.6,14,97.51,4.50,0.01,33,240,1,0.3,2,0.9,0.4,1,long
22,-2.49,28.6,14,97.51,4.50,0.01,32,240,1,0.4,2,0.9,0.4,1,long
23,-2.56,36.4,22,97.44,2.84,0.08,36,240,0,0.2,2,0.9,0.4,1,short
24,-2.56,36.4,22,97.44,2.84,0.08,36,240,1,0.2,2,0.9,0.4,1,short
25,-2.60,27.3,11,97.40,3.77,-0.05,25,240,2,0.2,3,0.9,0.4,1,long
26,-2.62,30.8,13,97.38,2.62,-0.01,25,240,2,0.2,3,0.9,0.4,1,short
27,-2.67,30.8,13,97.33,2.67,-0.02,23,240,2,0.3,3,0.9,0.4,1,short
28,-2.97,20.0,10,97.03,3.19,-0.11,27,240,0,0.1,3,0.9,0.4,1,long
29,-2.97,20.0,10,97.03,3.19,-0.11,27,240,1,0.1,3,0.9,0.4,1,long
30,-3.02,37.9,29,96.98,4.86,0.09,53,240,0,0.4,1,0.9,0.4,1,short
31,-3.02,37.9,29,96.98,4.86,0.09,53,240,1,0.4,1,0.9,0.4,1,short
32,-3.23,20.0,10,96.77,4.40,-0.14,23,240,2,0.3,3,0.9,0.4,1,long
33,-3.37,39.5,43,96.63,5.92,0.12,76,240,0,0.1,1,0.9,0.4,1,short
34,-3.37,39.5,43,96.63,5.92,0.12,76,240,1,0.1,1,0.9,0.4,1,short
35,-3.44,31.6,19,96.56,5.11,0.01,35,240,2,0.1,2,0.9,0.4,1,short
36,-3.77,34.4,32,96.23,4.03,0.08,32,240,0,0.4,2,0.9,0.4,1,both
37,-3.77,34.4,32,96.23,4.03,0.08,32,240,1,0.4,2,0.9,0.4,1,both
38,-3.81,29.4,17,96.19,3.81,-0.04,32,240,2,0.4,2,0.9,0.4,1,short
39,-4.06,26.7,15,95.94,5.25,-0.09,32,240,2,0.3,2,0.9,0.4,1,long
40,-4.06,26.7,15,95.94,5.25,-0.09,32,240,2,0.4,2,0.9,0.4,1,long
41,-4.06,11.1,9,95.94,4.06,-0.28,22,240,2,0.4,3,0.9,0.4,1,long
42,-4.16,10.0,10,95.84,4.16,-0.24,26,240,0,0.2,3,0.9,0.4,1,long
43,-4.16,10.0,10,95.84,4.16,-0.24,26,240,1,0.2,3,0.9,0.4,1,long
44,-4.26,0.0,7,95.74,4.26,-0.45,21,240,0,0.4,3,0.9,0.4,1,long
45,-4.26,0.0,7,95.74,4.26,-0.45,21,240,1,0.4,3,0.9,0.4,1,long
46,-4.26,27.8,18,95.74,5.11,-0.05,35,240,2,0.2,2,0.9,0.4,1,short
47,-4.34,33.3,33,95.66,4.37,0.06,33,240,0,0.3,2,0.9,0.4,1,both
48,-4.34,33.3,33,95.66,4.37,0.06,33,240,1,0.3,2,0.9,0.4,1,both
49,-4.45,21.4,14,95.55,5.61,-0.14,36,240,0,0.2,2,0.9,0.4,1,long
50,-4.45,21.4,14,95.55,5.61,-0.14,36,240,1,0.2,2,0.9,0.4,1,long
51,-4.46,25.0,16,95.54,5.11,-0.10,39,240,0,0.1,2,0.9,0.4,1,long
52,-4.46,25.0,16,95.54,5.11,-0.10,39,240,1,0.1,2,0.9,0.4,1,long
53,-4.52,30.8,26,95.48,4.67,0.02,26,240,0,0.2,3,0.9,0.4,1,both
54,-4.52,30.8,26,95.48,4.67,0.02,26,240,1,0.2,3,0.9,0.4,1,both
55,-4.54,25.0,16,95.46,5.69,-0.10,35,240,2,0.1,2,0.9,0.4,1,long
56,-4.60,36.1,36,95.40,4.75,0.06,65,240,0,0.2,1,0.9,0.4,1,short
57,-4.60,36.1,36,95.40,4.75,0.06,65,240,1,0.2,1,0.9,0.4,1,short
58,-4.71,30.8,26,95.29,6.61,0.01,27,240,0,0.1,3,0.9,0.4,1,both
59,-4.71,30.8,26,95.29,6.61,0.01,27,240,1,0.1,3,0.9,0.4,1,both
60,-4.73,28.6,21,95.27,4.73,-0.04,21,240,0,0.4,3,0.9,0.4,1,both
61,-4.73,28.6,21,95.27,4.73,-0.04,21,240,1,0.4,3,0.9,0.4,1,both
62,-4.77,34.4,32,95.23,6.41,0.04,57,240,2,0.1,1,0.9,0.4,1,short
63,-4.79,34.4,32,95.21,5.46,0.04,58,240,0,0.3,1,0.9,0.4,1,short
64,-4.79,34.4,32,95.21,5.46,0.04,58,240,1,0.3,1,0.9,0.4,1,short
65,-4.93,0.0,8,95.07,4.93,-0.46,22,240,0,0.3,3,0.9,0.4,1,long
66,-4.93,0.0,8,95.07,4.93,-0.46,22,240,1,0.3,3,0.9,0.4,1,long
67,-5.07,23.5,17,94.93,5.07,-0.12,32,240,2,0.3,2,0.9,0.4,1,short
68,-5.14,23.5,17,94.86,6.28,-0.12,35,240,2,0.2,2,0.9,0.4,1,long
69,-5.15,29.2,24,94.85,5.15,-0.03,25,240,2,0.2,3,0.9,0.4,1,both
70,-5.23,32.1,28,94.77,5.23,0.00,51,240,2,0.4,1,0.9,0.4,1,short
71,-5.33,27.3,22,94.67,5.33,-0.06,22,240,2,0.4,3,0.9,0.4,1,both
72,-5.39,27.3,22,94.61,5.39,-0.06,22,240,0,0.3,3,0.9,0.4,1,both
73,-5.39,27.3,22,94.61,5.39,-0.06,22,240,1,0.3,3,0.9,0.4,1,both
74,-5.57,32.3,31,94.43,6.41,0.01,56,240,2,0.2,1,0.9,0.4,1,short
75,-5.81,26.1,23,94.19,5.81,-0.07,23,240,2,0.3,3,0.9,0.4,1,both
76,-5.85,31.0,29,94.15,5.85,-0.02,52,240,2,0.3,1,0.9,0.4,1,short
77,-6.17,33.3,39,93.83,6.17,0.03,39,240,0,0.1,2,0.9,0.4,1,both
78,-6.17,33.3,39,93.83,6.17,0.03,39,240,1,0.1,2,0.9,0.4,1,both
79,-6.90,30.6,36,93.10,6.90,-0.01,36,240,0,0.2,2,0.9,0.4,1,both
80,-6.90,30.6,36,93.10,6.90,-0.01,36,240,1,0.2,2,0.9,0.4,1,both
81,-6.98,23.1,26,93.02,7.72,-0.09,58,240,0,0.3,1,0.9,0.4,1,long
82,-6.98,23.1,26,93.02,7.72,-0.09,58,240,1,0.3,1,0.9,0.4,1,long
83,-7.04,20.8,24,92.96,8.43,-0.12,53,240,0,0.4,1,0.9,0.4,1,long
84,-7.04,20.8,24,92.96,8.43,-0.12,53,240,1,0.4,1,0.9,0.4,1,long
85,-7.72,28.1,32,92.28,7.72,-0.06,32,240,2,0.4,2,0.9,0.4,1,both
86,-7.82,28.6,35,92.18,8.90,-0.04,35,240,2,0.1,2,0.9,0.4,1,both
87,-8.02,18.2,22,91.98,9.13,-0.20,52,240,2,0.3,1,0.9,0.4,1,long
88,-8.02,18.2,22,91.98,9.13,-0.20,51,240,2,0.4,1,0.9,0.4,1,long
89,-8.63,20.7,29,91.37,8.63,-0.12,65,240,0,0.2,1,0.9,0.4,1,long
90,-8.63,20.7,29,91.37,8.63,-0.12,65,240,1,0.2,1,0.9,0.4,1,long
91,-8.93,25.0,32,91.07,8.93,-0.11,32,240,2,0.3,2,0.9,0.4,1,both
92,-9.13,21.9,32,90.87,9.75,-0.11,76,240,0,0.1,1,0.9,0.4,1,long
93,-9.13,21.9,32,90.87,9.75,-0.11,76,240,1,0.1,1,0.9,0.4,1,long
94,-9.13,16.7,24,90.87,10.23,-0.22,57,240,2,0.1,1,0.9,0.4,1,long
95,-9.13,16.7,24,90.87,10.23,-0.22,56,240,2,0.2,1,0.9,0.4,1,long
96,-9.18,25.7,35,90.82,9.47,-0.09,35,240,2,0.2,2,0.9,0.4,1,both
97,-9.85,30.2,53,90.15,10.20,-0.00,53,240,0,0.4,1,0.9,0.4,1,both
98,-9.85,30.2,53,90.15,10.20,-0.00,53,240,1,0.4,1,0.9,0.4,1,both
99,-11.43,29.3,58,88.57,11.56,-0.02,58,240,0,0.3,1,0.9,0.4,1,both
100,-11.43,29.3,58,88.57,11.56,-0.02,58,240,1,0.3,1,0.9,0.4,1,both
101,-12.19,32.0,75,87.81,12.19,0.02,76,240,0,0.1,1,0.9,0.4,1,both
102,-12.19,32.0,75,87.81,12.19,0.02,76,240,1,0.1,1,0.9,0.4,1,both
103,-12.83,29.2,65,87.17,12.83,-0.02,65,240,0,0.2,1,0.9,0.4,1,both
104,-12.83,29.2,65,87.17,12.83,-0.02,65,240,1,0.2,1,0.9,0.4,1,both
105,-12.83,26.0,50,87.17,12.83,-0.09,51,240,2,0.4,1,0.9,0.4,1,both
106,-13.40,25.5,51,86.60,13.40,-0.09,52,240,2,0.3,1,0.9,0.4,1,both
107,-13.46,26.8,56,86.54,13.46,-0.07,57,240,2,0.1,1,0.9,0.4,1,both
108,-14.19,25.5,55,85.81,14.19,-0.09,56,240,2,0.2,1,0.9,0.4,1,both